"Date","Price","Open","High","Low","Change %"
"06/06/2023","94.99","94.99","94.99","94.99","-17.41%"
"06/05/2023","115.01","115.01","115.01","103.99","-2.13%"
"06/02/2023","117.51","117.51","117.51","113.50","-4.09%"
"06/01/2023","122.52","122.52","122.52","120.50","2.95%"
"05/31/2023","119.01","119.01","119.01","117.00","1.71%"
"05/30/2023","117.01","117.01","117.01","113.75","0.00%"
"05/29/2023","117.01","117.01","117.01","111.50","-3.31%"
"05/26/2023","121.02","121.02","121.02","111.50","-5.10%"
"05/25/2023","127.53","127.53","127.53","109.01","5.38%"
"05/24/2023","121.02","121.02","121.02","113.76","-36.37%"
"05/23/2023","190.18","190.18","190.18","110.51","-2.56%"
"05/22/2023","195.18","195.18","195.18","185.08","-12.89%"
"05/19/2023","224.06","224.06","224.06","187.56","11.00%"
"05/18/2023","201.86","201.86","224.82","201.86","-6.00%"
"05/17/2023","214.74","214.74","224.86","214.74","0.02%"
"05/16/2023","214.70","214.70","224.86","214.70","0.02%"
"05/15/2023","214.66","214.66","224.88","214.66","-0.02%"
"05/12/2023","214.70","224.85","224.86","214.66","0.02%"
"05/11/2023","214.66","214.66","224.85","214.66","-4.52%"
"05/10/2023","224.82","214.64","224.82","214.64","0.00%"
"05/09/2023","224.81","214.61","224.81","214.61","4.75%"
"05/08/2023","214.61","214.61","215.81","214.61","-0.55%"
"05/05/2023","215.80","217.60","217.60","215.80","1.51%"
"05/04/2023","212.60","212.60","219.76","212.60","0.00%"
"05/03/2023","212.59","212.59","213.79","212.59","2.38%"
"05/02/2023","207.64","207.64","213.80","207.64","0.02%"
"05/01/2023","207.59","207.59","208.79","207.59","-8.82%"
"04/28/2023","227.67","227.67","227.67","208.78","7.08%"
"04/27/2023","212.63","212.63","212.63","211.57","1.21%"
"04/26/2023","210.08","210.08","213.79","210.08","1.19%"
"04/25/2023","207.61","207.61","211.53","207.61","-2.35%"
"04/24/2023","212.61","212.61","212.61","210.32","-0.09%"
"04/21/2023","212.81","217.63","217.63","212.81","-0.38%"
"04/20/2023","213.63","213.63","213.81","213.63","-0.01%"
"04/19/2023","213.66","213.66","213.66","213.66","-2.94%"
"04/18/2023","220.13","220.13","220.13","220.13","-1.14%"
"04/17/2023","222.66","222.66","222.66","222.66","-2.19%"
"04/14/2023","227.65","227.65","227.65","227.65","0.01%"
"04/13/2023","227.64","227.64","227.64","227.64","-0.01%"
"04/12/2023","227.66","227.66","227.66","227.66","-4.24%"
"04/11/2023","237.74","237.74","237.74","237.74","0.03%"
"04/10/2023","237.66","237.66","237.66","237.66","0.00%"
"04/07/2023","237.66","237.66","237.66","237.66","-1.05%"
"04/06/2023","240.17","240.17","240.17","240.17","4.37%"
"04/05/2023","230.11","230.11","230.11","230.11","2.22%"
"04/04/2023","225.12","225.12","225.12","225.12","-0.03%"
"04/03/2023","225.19","225.19","225.19","225.19","-4.28%"
"03/31/2023","235.27","235.27","235.27","235.27","-2.06%"
"03/30/2023","240.22","240.22","240.22","240.22","-11.08%"
"03/29/2023","270.16","270.16","270.16","270.16","-1.80%"
"03/28/2023","275.13","275.13","275.13","275.13","17.05%"
"03/27/2023","235.04","235.04","235.04","235.04","0.04%"
"03/24/2023","234.95","234.95","234.95","234.95","-2.13%"
"03/23/2023","240.06","240.06","240.06","240.06","70.39%"
"03/22/2023","140.89","140.89","140.89","140.89","-32.23%"
"03/21/2023","207.90","207.90","207.90","207.90","-91.43%"
"03/17/2023","2,426.88","2,426.88","2,426.88","2,426.88","-13.59%"
"03/16/2023","2,808.52","2,808.52","2,808.52","2,808.52","-24.01%"
"03/15/2023","3,695.83","3,695.83","3,695.83","3,695.83","886.27%"
"03/14/2023","374.73","374.73","374.73","374.73","0.01%"
"03/13/2023","374.67","374.67","374.67","374.67","13.67%"
"03/10/2023","329.60","329.60","384.75","329.60","6.45%"
"03/09/2023","309.64","309.64","329.84","309.64","5.05%"
"03/08/2023","294.76","294.76","305.82","294.76","3.53%"
"03/07/2023","284.72","284.72","287.37","284.72","1.73%"
"03/06/2023","279.87","271.73","279.87","271.73","3.32%"
"03/03/2023","270.88","261.76","270.88","261.76","6.91%"
"03/02/2023","253.38","234.88","253.38","234.88","6.71%"
"03/01/2023","237.44","236.86","237.44","236.86","-1.45%"
"02/28/2023","240.93","247.79","247.79","240.93","-3.20%"
"02/27/2023","248.89","249.83","249.83","248.89","-0.41%"
"02/24/2023","249.91","244.81","249.91","244.81","1.01%"
"02/23/2023","247.41","259.81","259.81","247.41","-5.71%"
"02/22/2023","262.39","259.66","262.39","259.66","1.97%"
"02/21/2023","257.33","224.87","257.33","224.87","14.66%"
"02/20/2023","224.42","224.84","224.84","224.42","3.24%"
"02/17/2023","217.37","211.81","217.37","211.81","4.30%"
"02/16/2023","208.41","214.79","214.79","208.41","-0.71%"
"02/15/2023","209.89","201.85","209.89","201.85","4.46%"
"02/14/2023","200.92","204.84","204.84","200.92","-3.13%"
"02/13/2023","207.42","194.85","207.42","194.85","12.16%"
"02/10/2023","184.93","174.86","184.93","174.86","12.13%"
"02/09/2023","164.93","184.94","184.94","164.93","-8.35%"
"02/08/2023","179.96","204.92","204.92","179.96","-6.49%"
"02/07/2023","192.46","222.88","222.88","192.46","-12.50%"
"02/06/2023","219.95","229.91","229.91","219.95","0.00%"
"02/03/2023","219.95","214.91","219.95","214.91","7.32%"
"02/02/2023","204.94","219.91","219.91","204.94","-4.66%"
"02/01/2023","214.96","224.91","224.91","214.96","-1.15%"
"01/31/2023","217.45","224.90","224.90","217.45","1.16%"
"01/30/2023","214.96","209.91","214.96","209.91","6.18%"
"01/27/2023","202.45","214.93","214.93","202.45","-4.72%"
"01/26/2023","212.47","249.86","249.86","212.47","-9.56%"
"01/25/2023","234.92","254.84","254.84","234.92","-2.08%"
"01/24/2023","239.91","259.83","259.83","239.91","-10.29%"
"01/23/2023","267.42","287.89","287.89","267.42","-4.99%"
"01/20/2023","281.46","284.90","284.90","281.46","1.43%"
"01/19/2023","277.48","257.97","277.48","257.97","8.20%"
"01/18/2023","256.45","315.97","315.97","256.45","-18.71%"
"01/17/2023","315.47","315.02","315.47","315.02","-0.64%"
"01/16/2023","317.51","310.07","317.51","310.07","-0.01%"
"01/13/2023","317.53","334.98","334.98","317.53","-4.49%"
"01/12/2023","332.47","349.87","349.87","332.47","-5.66%"
"01/11/2023","352.42","432.33","432.33","352.42","-19.20%"
"01/10/2023","436.18","432.33","436.18","432.33","-1.69%"
"01/09/2023","443.66","475.18","475.18","443.66","-7.59%"
"01/06/2023","480.09","480.22","480.22","480.09","-1.05%"
"01/05/2023","485.16","495.37","495.37","485.16","0.52%"
"01/04/2023","482.65","500.39","500.39","482.65","-3.98%"
"01/03/2023","502.67","501.13","502.67","501.13","-0.57%"
"01/02/2023","505.53","501.14","505.53","501.14","-0.02%"
"12/30/2022","505.61","501.14","505.61","501.14","0.00%"
"12/29/2022","505.59","505.20","505.59","505.20","-0.87%"
"12/28/2022","510.04","512.69","512.69","510.04","-1.22%"
"12/27/2022","516.35","512.72","516.35","512.72","0.01%"
"12/26/2022","516.30","512.61","516.30","512.61","-0.02%"
"12/23/2022","516.39","520.70","520.70","516.39","-0.77%"
"12/22/2022","520.40","516.77","520.40","516.77","0.39%"
"12/21/2022","518.40","530.48","530.48","518.40","-1.31%"
"12/20/2022","525.30","530.58","530.58","525.30","0.00%"
"12/19/2022","525.29","535.40","535.40","525.29","-1.41%"
"12/16/2022","532.80","531.03","532.80","531.03","1.39%"
"12/15/2022","525.51","515.83","525.51","515.83","0.50%"
"12/14/2022","522.91","520.80","522.91","520.80","-0.93%"
"12/13/2022","527.84","569.35","569.35","527.84","-5.69%"
"12/12/2022","559.67","571.41","571.41","559.67","-0.63%"
"12/09/2022","563.20","580.60","580.60","563.20","-2.11%"
"12/08/2022","575.34","550.48","575.34","550.48","4.57%"
"12/07/2022","550.21","545.43","550.21","545.43","4.27%"
"12/06/2022","527.68","550.78","550.78","527.68","-0.05%"
"12/05/2022","527.92","551.32","551.32","527.92","-1.91%"
"12/02/2022","538.21","550.47","550.47","538.21","-1.27%"
"12/01/2022","545.16","510.95","545.16","510.95","-3.55%"
"11/30/2022","565.22","511.25","565.22","511.25","17.62%"
"11/29/2022","480.55","500.08","500.08","480.55","1.16%"
"11/28/2022","475.04","335.02","475.04","335.02","40.74%"
"11/25/2022","337.54","315.05","337.54","315.05","5.48%"
"11/24/2022","320.01","320.04","320.04","320.01","-1.55%"
"11/23/2022","325.04","315.28","325.04","315.28","7.44%"
"11/22/2022","302.53","315.08","315.08","302.53","-3.97%"
"11/21/2022","315.03","320.06","320.06","315.03","-1.55%"
"11/18/2022","319.98","329.96","329.96","319.98","-3.04%"
"11/17/2022","330.00","309.95","330.00","309.95","8.21%"
"11/16/2022","304.95","275.22","304.95","275.22","7.95%"
"11/15/2022","282.48","274.97","282.48","274.97","-1.74%"
"11/14/2022","287.48","279.98","287.48","279.98","2.66%"
"11/11/2022","280.03","280.00","280.03","280.00","-2.57%"
"11/10/2022","287.43","330.15","330.15","287.43","-14.22%"
"11/09/2022","335.07","310.24","335.07","310.24","10.77%"
"11/08/2022","302.48","309.96","309.96","302.48","-0.33%"
"11/07/2022","303.49","309.96","309.96","303.49","-2.10%"
"11/04/2022","309.99","324.90","324.90","309.99","-0.80%"
"11/03/2022","312.49","254.95","312.49","254.95","22.57%"
"11/02/2022","254.94","239.52","254.94","239.52","7.36%"
"11/01/2022","237.46","240.02","240.02","237.46","-0.02%"
"10/31/2022","237.51","249.93","249.93","237.51","-5.00%"
"10/28/2022","250.01","239.95","250.01","239.95","6.42%"
"10/27/2022","234.92","323.72","323.72","234.92","-25.86%"
"10/26/2022","316.86","300.66","316.86","300.66","3.78%"
"10/25/2022","305.33","345.51","345.51","305.33","-8.23%"
"10/24/2022","332.71","339.89","339.89","332.71","0.84%"
"10/21/2022","329.94","350.62","350.62","329.94","1.42%"
"10/20/2022","325.31","280.34","325.31","280.34","22.68%"
"10/19/2022","265.18","239.99","265.18","239.99","20.54%"
"10/18/2022","219.99","275.40","275.40","219.99","-26.10%"
"10/17/2022","297.69","411.88","411.88","297.69","-27.13%"
"10/14/2022","408.51","432.02","432.02","408.51","-5.23%"
"10/13/2022","431.04","432.05","432.05","431.04","0.02%"
"10/12/2022","430.94","401.49","430.94","401.49","9.58%"
"10/11/2022","393.25","386.25","393.25","386.25","3.31%"
"10/10/2022","380.64","425.59","425.59","380.64","-17.76%"
"10/07/2022","462.86","603.14","603.14","462.86","-17.97%"
"10/06/2022","564.24","604.12","604.12","564.24","-3.09%"
"10/05/2022","582.23","425.72","582.23","425.72","39.37%"
"10/04/2022","417.77","501.43","501.43","417.77","-20.53%"
"10/03/2022","525.67","165.89","525.67","165.89","229.70%"
"09/30/2022","159.44","160.90","160.90","159.44","4.93%"
"09/29/2022","151.95","150.92","151.95","150.92","7.05%"
"09/28/2022","141.94","145.92","145.92","141.94","1.78%"
"09/27/2022","139.46","145.92","145.92","139.46","5.68%"
"09/26/2022","131.97","130.96","131.97","130.96","1.93%"
"09/23/2022","129.47","130.95","130.95","129.47","-3.00%"
"09/22/2022","133.48","140.96","140.96","133.48","-6.96%"
"09/21/2022","143.47","136.94","143.47","136.94","1.77%"
"09/20/2022","140.97","133.78","140.97","133.78","7.63%"
"09/19/2022","130.98","127.48","130.98","127.48","0.00%"
"09/16/2022","130.98","127.48","130.98","127.48","2.54%"
"09/15/2022","127.74","124.48","127.74","124.48","1.19%"
"09/14/2022","126.24","131.48","131.48","126.24","-1.56%"
"09/13/2022","128.24","149.06","149.06","128.24","-4.15%"
"09/12/2022","133.79","131.48","133.79","131.48","0.04%"
"09/09/2022","133.74","149.46","149.46","133.74","-6.39%"
"09/08/2022","142.88","149.06","149.06","142.88","0.00%"
"09/07/2022","142.88","148.60","148.60","142.88","0.05%"
"09/06/2022","142.81","149.10","149.10","142.81","-0.04%"
"09/05/2022","142.86","149.06","149.06","142.86","0.02%"
"09/02/2022","142.83","149.06","149.06","142.83","-7.43%"
"09/01/2022","154.29","144.86","154.29","144.86","5.73%"
"08/31/2022","145.93","138.27","145.93","138.27","3.04%"
"08/30/2022","141.63","131.94","141.63","131.94","4.53%"
"08/29/2022","135.49","131.98","135.49","131.98","0.01%"
"08/26/2022","135.48","125.76","135.48","125.76","0.82%"
"08/25/2022","134.38","129.99","134.38","129.99","-1.55%"
"08/24/2022","136.49","150.22","150.22","136.49","-9.38%"
"08/23/2022","150.61","150.21","150.61","150.21","1.35%"
"08/22/2022","148.61","136.25","148.61","136.25","6.06%"
"08/19/2022","140.12","132.48","140.12","132.48","3.23%"
"08/18/2022","135.74","139.97","139.97","135.74","-1.27%"
"08/17/2022","137.49","133.98","137.49","133.98","3.00%"
"08/16/2022","133.49","131.98","133.49","131.98","1.53%"
"08/15/2022","131.48","131.67","131.67","131.48","-1.02%"
"08/12/2022","132.83","131.67","132.83","131.67","-1.48%"
"08/11/2022","134.83","139.57","139.57","134.83","-4.57%"
"08/10/2022","141.28","143.80","143.80","141.28","-2.16%"
"08/09/2022","144.40","132.05","144.40","132.05","4.24%"
"08/08/2022","138.52","135.97","138.52","135.97","-1.40%"
"08/05/2022","140.49","139.97","140.49","139.97","-0.70%"
"08/04/2022","141.48","134.97","141.48","134.97","2.53%"
"08/03/2022","137.99","143.96","143.96","137.99","-2.81%"
"08/02/2022","141.98","134.96","141.98","134.96","5.58%"
"08/01/2022","134.48","130.47","134.48","130.47","2.48%"
"07/29/2022","131.23","136.96","136.96","131.23","-5.91%"
"07/28/2022","139.47","147.96","147.96","139.47","-4.46%"
"07/27/2022","145.98","141.96","145.98","141.96","4.67%"
"07/26/2022","139.47","134.96","139.47","134.96","5.28%"
"07/25/2022","132.48","134.95","134.95","132.48","-3.63%"
"07/22/2022","137.47","146.94","146.94","137.47","-7.10%"
"07/21/2022","147.98","149.94","149.94","147.98","-1.00%"
"07/20/2022","149.47","159.94","159.94","149.47","-6.28%"
"07/19/2022","159.48","165.93","165.93","159.48","-3.90%"
"07/18/2022","165.96","172.90","172.90","165.96","-1.47%"
"07/15/2022","168.44","162.41","168.44","162.41","2.25%"
"07/14/2022","164.73","158.98","164.73","158.98","3.94%"
"07/13/2022","158.48","156.94","158.48","156.94","1.29%"
"07/12/2022","156.46","141.45","156.46","141.45","6.64%"
"07/11/2022","146.72","139.96","146.72","139.96","1.55%"
"07/08/2022","144.48","144.45","144.48","144.45","0.17%"
"07/07/2022","144.23","147.45","147.45","144.23","-2.69%"
"07/06/2022","148.22","159.89","159.89","148.22","-4.02%"
"07/05/2022","154.43","140.96","154.43","140.96","3.67%"
"07/04/2022","148.96","136.96","149.93","136.96","-0.65%"
"07/01/2022","149.93","136.46","149.93","136.46","7.31%"
"06/30/2022","139.72","126.47","139.72","126.47","9.39%"
"06/29/2022","127.73","119.47","127.73","119.47","4.49%"
"06/28/2022","122.24","113.48","122.24","113.48","1.24%"
"06/27/2022","120.74","112.98","120.74","112.98","3.65%"
"06/24/2022","116.49","112.99","116.49","112.99","-0.85%"
"06/23/2022","117.49","108.99","117.49","108.99","5.86%"
"06/22/2022","110.99","102.99","110.99","102.99","8.82%"
"06/21/2022","101.99","90.70","101.99","90.70","-1.21%"
"06/20/2022","103.24","90.40","103.24","90.40","0.78%"
"06/17/2022","102.44","90.80","102.44","90.80","0.69%"
"06/16/2022","101.74","90.50","101.74","90.50","12.11%"
"06/15/2022","90.75","93.00","93.00","90.75","-2.42%"
"06/14/2022","93.00","86.50","93.00","86.50","4.79%"
"06/13/2022","88.75","81.51","88.75","81.51","9.91%"
"06/10/2022","80.75","67.52","80.75","67.52","18.32%"
"06/09/2022","68.25","65.53","68.25","65.53","3.00%"
"06/08/2022","66.26","65.52","66.26","65.52","0.76%"
"06/07/2022","65.76","62.83","65.76","62.83","2.10%"
"06/06/2022","64.41","62.83","64.41","62.83","-0.77%"
"06/03/2022","64.91","62.83","64.91","62.83","0.00%"
"06/02/2022","64.91","62.83","64.91","62.83","0.00%"
"06/01/2022","64.91","60.24","64.91","60.24","2.84%"
"05/31/2022","63.12","53.96","63.12","53.96","7.95%"
"05/30/2022","58.47","56.47","58.47","56.47","-3.74%"
"05/27/2022","60.74","61.67","61.67","60.74","-3.33%"
"05/26/2022","62.83","69.47","69.47","62.83","-8.58%"
"05/25/2022","68.73","73.72","73.72","68.73","-3.69%"
"05/24/2022","71.36","69.52","71.36","69.52","3.78%"
"05/23/2022","68.76","77.02","77.02","68.76","-6.46%"
"05/20/2022","73.51","73.52","73.52","73.51","3.89%"
"05/19/2022","70.76","72.52","72.52","70.76","2.91%"
"05/18/2022","68.76","75.00","75.00","68.76","-1.05%"
"05/17/2022","69.49","81.00","81.00","69.49","-6.71%"
"05/16/2022","74.49","79.00","79.00","74.49","0.00%"
"05/13/2022","74.49","81.50","81.50","74.49","-0.68%"
"05/12/2022","75.00","82.00","82.00","75.00","1.60%"
"05/11/2022","73.82","82.00","82.00","73.82","-5.36%"
"05/10/2022","78.00","81.00","81.00","78.00","0.00%"
"05/09/2022","78.00","78.00","78.00","78.00","4.01%"
"05/06/2022","74.99","75.00","75.00","74.99","1.00%"
"05/05/2022","74.25","75.00","75.00","74.25","3.85%"
"05/04/2022","71.50","71.00","71.50","71.00","3.62%"
"05/03/2022","69.00","73.00","73.00","69.00","-3.50%"
"05/02/2022","71.50","73.00","73.00","71.50","0.01%"
"04/29/2022","71.49","73.50","73.50","71.49","1.06%"
"04/28/2022","70.74","70.50","70.74","70.50","2.15%"
"04/27/2022","69.25","65.50","69.25","65.50","5.32%"
"04/26/2022","65.75","62.00","65.75","62.00","8.68%"
"04/25/2022","60.50","57.01","60.50","57.01","6.16%"
"04/22/2022","56.99","57.00","57.00","56.99","1.79%"
"04/21/2022","55.99","57.00","57.00","55.99","-1.77%"
"04/20/2022","57.00","58.51","58.51","57.00","-1.30%"
"04/19/2022","57.75","56.00","57.75","56.00","3.13%"
"04/18/2022","56.00","56.01","56.01","56.00","0.00%"
"04/15/2022","56.00","56.00","56.00","56.00","-0.02%"
"04/14/2022","56.01","57.00","57.00","56.01","0.02%"
"04/13/2022","56.00","55.01","56.00","55.01","1.80%"
"04/12/2022","55.01","55.51","55.51","55.01","0.47%"
"04/11/2022","54.75","57.00","57.00","54.75","-3.10%"
"04/08/2022","56.50","59.01","59.01","56.50","-2.59%"
"04/07/2022","58.00","57.01","58.00","57.01","1.75%"
"04/06/2022","57.00","57.00","57.00","57.00","0.88%"
"04/05/2022","56.50","55.01","56.50","55.01","4.61%"
"04/04/2022","54.01","57.01","57.01","54.01","-2.74%"
"04/01/2022","55.53","57.05","57.05","55.53","-1.75%"
"03/31/2022","56.52","54.04","56.52","54.04","2.73%"
"03/30/2022","55.02","52.05","55.02","52.05","5.77%"
"03/29/2022","52.02","59.04","59.04","52.02","-12.60%"
"03/28/2022","59.52","61.03","61.03","59.52","-2.46%"
"03/25/2022","61.02","64.04","64.04","61.02","-3.17%"
"03/24/2022","63.02","62.04","63.02","62.04","2.44%"
"03/23/2022","61.52","59.54","61.52","59.54","2.07%"
"03/22/2022","60.27","63.54","63.54","60.27","-3.98%"
"03/21/2022","62.77","60.31","62.77","60.31","12.57%"
"03/18/2022","55.76","54.53","55.76","54.53","4.69%"
"03/17/2022","53.26","54.53","54.53","53.26","-4.48%"
"03/16/2022","55.76","61.02","61.02","55.76","-6.30%"
"03/15/2022","59.51","60.02","60.02","59.51","1.71%"
"03/14/2022","58.51","52.04","58.51","52.04","7.32%"
"03/11/2022","54.52","49.04","54.52","49.04","2.83%"
"03/10/2022","53.02","42.06","53.02","42.06","12.76%"
"03/09/2022","47.02","54.04","54.04","47.02","-21.00%"
"03/08/2022","59.52","60.03","60.03","59.52","-13.12%"
"03/07/2022","68.51","55.13","68.51","55.13","16.99%"
"03/04/2022","58.56","50.92","58.56","50.92","12.70%"
"03/03/2022","51.96","49.93","51.96","49.93","4.00%"
"03/02/2022","49.96","48.96","49.96","48.96","0.97%"
"03/01/2022","49.48","48.04","49.48","48.04","0.94%"
"02/28/2022","49.02","44.12","49.02","44.12","7.59%"
"02/25/2022","45.56","47.10","47.10","45.56","-7.12%"
"02/24/2022","49.05","44.38","49.05","44.38","1.78%"
"02/23/2022","48.19","43.92","48.19","43.92","2.62%"
"02/22/2022","46.96","45.29","46.96","45.29","-0.38%"
"02/21/2022","47.14","40.31","47.14","40.31","15.97%"
"02/18/2022","40.65","37.36","40.65","37.36","9.33%"
"02/17/2022","37.18","37.37","37.37","37.18","1.36%"
"02/16/2022","36.68","37.14","37.14","36.68","-6.12%"
"02/15/2022","39.07","38.04","39.07","38.04","-1.14%"
"02/14/2022","39.52","36.39","39.52","36.39","7.71%"
"02/11/2022","36.69","35.32","36.69","35.32","2.89%"
"02/10/2022","35.66","33.52","35.66","33.52","5.63%"
"02/09/2022","33.76","34.88","34.88","33.76","-3.38%"
"02/08/2022","34.94","36.24","36.24","34.94","-3.24%"
"02/07/2022","36.11","33.96","36.11","33.96","0.39%"
"02/04/2022","35.97","33.04","35.97","33.04","5.73%"
"02/03/2022","34.02","30.79","34.02","30.79","8.38%"
"02/02/2022","31.39","31.70","31.70","31.39","-2.94%"
"02/01/2022","32.34","31.68","32.34","31.68","0.00%"
"01/31/2022","32.34","31.56","32.34","31.56","0.19%"
"01/28/2022","32.28","30.34","32.28","30.34","3.56%"
"01/27/2022","31.17","30.34","31.17","30.34","0.00%"
"01/26/2022","31.17","30.12","31.17","30.12","0.35%"
"01/25/2022","31.06","30.12","31.06","30.12","0.00%"
"01/24/2022","31.06","29.00","31.06","29.00","7.10%"
"01/21/2022","29.00","29.19","29.19","29.19","3.02%"
"01/20/2022","28.15","27.17","28.15","27.17","-1.75%"
"01/19/2022","28.65","29.19","29.19","28.65","-1.51%"
"01/18/2022","29.09","28.76","29.09","28.76","6.28%"
"01/17/2022","27.37","27.17","27.37","27.17","2.97%"
"01/14/2022","26.58","26.72","26.72","26.58","2.78%"
"01/13/2022","25.86","26.72","26.72","25.86","1.97%"
"01/12/2022","25.36","26.95","26.95","25.36","-2.35%"
"01/11/2022","25.97","26.88","26.88","25.93","0.15%"
"01/10/2022","25.93","26.48","26.48","25.93","2.73%"
"01/07/2022","25.24","26.27","26.27","25.24","2.48%"
"01/06/2022","24.63","25.36","25.36","24.63","4.01%"
"01/05/2022","23.68","25.59","25.59","23.68","-2.51%"
"01/04/2022","24.29","25.82","25.82","24.29","-2.45%"
"01/03/2022","24.90","25.81","25.81","24.90","-0.04%"